Name of the neighborhood,Shleter Number,Address,Area,Type,Capacity,Operator,X-axis coordinates,Y axis coordinates,Address for the map,Administration,neighborhood,category
Katamon,Public Shelter No.817,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.76059170%2C35.21227390&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.76059170%2C35.21227390&amp;navigate=yes&amp;zoom=16"">7 Yehoshua Ben Gamla St.</a> ",,,96,Ginot Ha'Ir Community Administration,31.760739429922552,35.21228161870976,7 Yehoshua Ben Gamla St.,,,Gonenim - Katamonim
Mahane Yehuda,Public Shelter No.821,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78316880%2C35.21364550&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78316880%2C35.21364550&amp;navigate=yes&amp;zoom=16"">24 Einayim LaMishpat St.</a> ",120,,96,Lev Ha'Ir Community Administration,31.78299762,35.2136024,24 Einayim LaMishpat St.,,,City Center
Katamon,Public Shelter No.824,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75522360%2C35.20861460&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75522360%2C35.20861460&amp;navigate=yes&amp;zoom=16"">31 Rashbag St.</a> ",150,,120,"Mikro Theater, Culture Division, Jerusalem Municipality",31.7554334,35.2086146,31 Rashbag St.,,,Gonenim - Katamonim
Katamon,Public Shelter No.825,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EilFbGF6YXIgQmVuIFlhJ2lyIFN0IDI0LCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCZtSCD3v1wIVEezBKQjiwp8LEBgqFAoSCW8IhzDv1wIVEbvxK7Yt_QLL&amp;ll=31.75342720%2C35.20165800&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=EilFbGF6YXIgQmVuIFlhJ2lyIFN0IDI0LCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCZtSCD3v1wIVEezBKQjiwp8LEBgqFAoSCW8IhzDv1wIVEbvxK7Yt_QLL&amp;ll=31.75342720%2C35.20165800&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">24 Elazar Ben Yair St.</a> ",150,,120,"""Ariel"" youth movement",31.75360963,35.20166873,24 Elazar Ben Yair St.  ,,,Gonenim - Katamonim
Mea She'arim,Public Shelter No.826,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=EiRPdHNhciBIYVNmYXJpbSBTdCwgSmVydXNhbGVtLCBJc3JhZWwiLiosChQKEgmXz7dR2ykDFRH-Qe0gKLye_hIUChIJS_zBNNbXAhURy-FuRT5ib9k&amp;ll=31.78663400%2C35.22526100&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=EiRPdHNhciBIYVNmYXJpbSBTdCwgSmVydXNhbGVtLCBJc3JhZWwiLiosChQKEgmXz7dR2ykDFRH-Qe0gKLye_hIUChIJS_zBNNbXAhURy-FuRT5ib9k&amp;ll=31.78663400%2C35.22526100&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">6 Otsar HaSfarim St.</a> ",150,,120,"""Moreshet HaNahal"" yeshiva",31.78649294,35.2253953,6 Otsar HaSfarim St.,,,Mea Shearim
Kiryat Menachem,Public Shelter No.827,"<a rel=""noopener"" href=""https://ul.waze.com/ul?ll=31.75898740%2C35.16883090&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?ll=31.75898740%2C35.16883090&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">4 Mexico St.</a> ",,,80,"""Ariel"" youth movement",31.75898,35.16878,4 Mexico St.,,,Kiryat Menachem
Katamon,Public Shelter No.828,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75991040%2C35.21317850&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75991040%2C35.21317850&amp;navigate=yes&amp;zoom=16"">10 HaRav Hasda St.</a> ",100,,80,boxing club,31.75971235,35.21328746,10 HaRav Hasda St.,,,Gonenim - Katamonim
Ir Ganim,Public Shelter No.829,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75357350%2C35.16665050&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75357350%2C35.16665050&amp;navigate=yes&amp;zoom=16"">9 HaRakefet St.</a> ",100,,32,"""Chai Tayeb"" synagogue",31.75350048,35.166039,9 HaRakefet St.,,,Ir Ganim
Geula,Public Shelter No.830,"<a rel=""noopener"" href=""https://goo.gl/maps/xCPoFCgHhwo?ll=31.78767970%2C35.21894860&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78767970%2C35.21894860&amp;navigate=yes&amp;zoom=16"">25 Tsfanya St.</a> ",100,,80,Bucharim Community Administration,31.7915136,35.21721693,25 Tsfanya St.,,,Geula
Katamon,Public Shelter No.831,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.75589460%2C35.19546320&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.75589460%2C35.19546320&amp;navigate=yes&amp;zoom=16"">7 Dov Hoz St.</a> ",150,,120,"Keshet Arts, Culture Division, Jerusalem Municipality",31.7562636,35.1954492,7 Dov Hoz St.,,,Gonenim - Katamonim
